"qudtUri","qudtLabel","qudtDimensionVector","qudtConversionMultiplier","nonLatexDescription","latexDescription"
"http://qudt.org/vocab/unit/MicroM-PER-M","Micrometer per Meter","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",1e-06,"0.000001-fold of the SI base unit metre divided by the SI base unit metre",NA
"http://qudt.org/vocab/unit/MicroM-PER-MilliL","Micrometer per Milliliter","http://qudt.org/vocab/dimensionvector/A0E0L-2I0M0H0T0D0",1,NA,NA
"http://qudt.org/vocab/unit/MicroM-PER-MIN","Micrometer per Minute","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T-1D0",1.666666666e-08,"Micrometre per minute is a derived unit of both speed (scalar) and velocity (vector quantity which specifies both magnitude and a specific direction), defined by distance in micronmeters divided by time in minutes.",NA
"http://qudt.org/vocab/unit/MicroM-PER-N","Micrometer per Newton","http://qudt.org/vocab/dimensionvector/A0E0L0I0M-1H0T2D0",1e-06,"Micro metres measured per Newton",NA
"http://qudt.org/vocab/unit/MicroM-PER-SEC","Micrometer per Second","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T-1D0",1e-06,"Micrometre per second is anderived unit of both speed (scalar) and velocity (vector quantity which specifies both magnitude and a specific direction), defined by distance in metres divided by time in seconds.",NA
"http://qudt.org/vocab/unit/MicroM-PER-SEC2","Micrometer per Square Second","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T-2D0",1e-06,NA,"\(\textit{Micrometre per Square Second}\) is a unit for  \(\textit{Linear Acceleration}\) expressed as \(um/s^2\)."
"http://qudt.org/vocab/unit/MicroM2","Square Micrometer","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T0D0",1e-12,"0.000000000001-fold of the power of the SI base unit metre with the exponent 2",NA
"http://qudt.org/vocab/unit/MicroM3","Cubic Micrometer","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T0D0",0,NA,NA
"http://qudt.org/vocab/unit/MicroM3-PER-M3","Cubic Micrometer per Cubic Meter","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",0,NA,NA
"http://qudt.org/vocab/unit/MicroM3-PER-MilliL","Cubic Micrometer per Milliliter","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",1e-12,NA,NA
"http://qudt.org/vocab/unit/MicroMHO","Micromho","http://qudt.org/vocab/dimensionvector/A0E2L-2I0M-1H0T3D0",1e-06,"0.000001-fold of the obsolete unit mho of the electric conductance",NA
"http://qudt.org/vocab/unit/MicroMOL","Micromole","http://qudt.org/vocab/dimensionvector/A1E0L0I0M0H0T0D0",1e-06,"0.000001-fold of the SI base unit mol",NA
"http://qudt.org/vocab/unit/MicroMOL-PER-GM","Micromol per Gram","http://qudt.org/vocab/dimensionvector/A1E0L0I0M-1H0T0D0",0.001,NA,"Micromole Per Gram ($umol/g$) is a unit of Molality"
"http://qudt.org/vocab/unit/MicroMOL-PER-GM-HR","Micromole per Gram Hour","http://qudt.org/vocab/dimensionvector/A1E0L0I0M-1H0T-1D0",2.7777777777e-07,NA,NA
"http://qudt.org/vocab/unit/MicroMOL-PER-GM-SEC","Micromol per Gram Saniye","http://qudt.org/vocab/dimensionvector/A1E0L0I0M-1H0T-1D0",0.001,NA,NA
"http://qudt.org/vocab/unit/MicroMOL-PER-KiloGM","Micromol pe Kilogram","http://qudt.org/vocab/dimensionvector/A1E0L0I0M-1H0T0D0",1e-06,NA,NA
"http://qudt.org/vocab/unit/MicroMOL-PER-KiloGM-YR","Micromole per Kilogram Year","http://qudt.org/vocab/dimensionvector/A1E0L0I0M-1H0T-1D0",3.168e-14,"A rate of change of one part in 10^3 of the SI unit of quantity of matter (mole) in an SI unit of mass (kilogram) in a period of an average calendar year (365.25 days).",NA
"http://qudt.org/vocab/unit/MicroMOL-PER-L","Micromole per Liter","http://qudt.org/vocab/dimensionvector/A1E0L-3I0M0H0T0D0",0.001,NA,NA
"http://qudt.org/vocab/unit/MicroMOL-PER-L-HR","Micromole per Liter Hour","http://qudt.org/vocab/dimensionvector/A1E0L-3I0M0H0T-1D0",2.7777777777e-07,NA,NA
"http://qudt.org/vocab/unit/MicroMOL-PER-M2","Micromole per Square Meter","http://qudt.org/vocab/dimensionvector/A1E0L-2I0M0H0T0D0",1e-06,NA,NA
"http://qudt.org/vocab/unit/MicroMOL-PER-M2-DAY","Micromole per Square Meter Day","http://qudt.org/vocab/dimensionvector/A1E0L-2I0M0H0T-1D0",1.157407e-11,NA,NA
"http://qudt.org/vocab/unit/MicroMOL-PER-M2-HR","Micromole per Square Meter Hour","http://qudt.org/vocab/dimensionvector/A1E0L-2I0M0H0T-1D0",2.7777777e-10,NA,NA
"http://qudt.org/vocab/unit/MicroMOL-PER-M2-SEC","Micromole per Square Meter Second","http://qudt.org/vocab/dimensionvector/A1E0L-2I0M0H0T-1D0",1e-06,NA,NA
"http://qudt.org/vocab/unit/MicroMOL-PER-M2-SEC2","Micromole per Square Meter Square Second","http://qudt.org/vocab/dimensionvector/A1E0L-2I0M0H0T-2D0",1e-06,NA,NA
"http://qudt.org/vocab/unit/MicroMOL-PER-MicroMOL-DAY","Micromole per Micromole Day","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0",1.157407407407e-05,NA,NA
"http://qudt.org/vocab/unit/MicroMOL-PER-MOL","Micromol por Mol","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",1e-06,NA,NA
