"qudtUri","ucumCode"
"http://qudt.org/vocab/unit/BU_UK-PER-MIN","[bu_br].min-1"
"http://qudt.org/vocab/unit/BU_UK-PER-SEC","[bu_br].s-1"
"http://qudt.org/vocab/unit/BU_US","[bu_us]"
"http://qudt.org/vocab/unit/BU_US_DRY","[bu_us]"
"http://qudt.org/vocab/unit/BU_US_DRY-PER-DAY","[bu_us].d-1"
"http://qudt.org/vocab/unit/BU_US_DRY-PER-HR","[bu_us].h-1"
"http://qudt.org/vocab/unit/BU_US_DRY-PER-MIN","[bu_us].min-1"
"http://qudt.org/vocab/unit/BU_US_DRY-PER-SEC","[bu_us].s-1"
"http://qudt.org/vocab/unit/BYTE","By"
"http://qudt.org/vocab/unit/BYTE-PER-SEC","By.s-1"
"http://qudt.org/vocab/unit/C","C"
"http://qudt.org/vocab/unit/C-M","C.m"
"http://qudt.org/vocab/unit/C-M2","C.m2"
"http://qudt.org/vocab/unit/C-M2-PER-KiloGM","C.m2.kg-1"
"http://qudt.org/vocab/unit/C-M2-PER-V","C.m2.V-1"
"http://qudt.org/vocab/unit/C-PER-CentiM2","C.cm-2"
"http://qudt.org/vocab/unit/C-PER-CentiM3","C.cm-3"
"http://qudt.org/vocab/unit/C-PER-KiloGM","C.kg-1"
"http://qudt.org/vocab/unit/C-PER-KiloGM-SEC","C.kg-1.s-1"
"http://qudt.org/vocab/unit/C-PER-M","C.m-1"
"http://qudt.org/vocab/unit/C-PER-M2","C.m-2"
"http://qudt.org/vocab/unit/C-PER-M3","C.m-3"
"http://qudt.org/vocab/unit/C-PER-MilliM2","C.mm-2"
"http://qudt.org/vocab/unit/C-PER-MilliM3","C.mm-3"
"http://qudt.org/vocab/unit/C-PER-MOL","C.mol-1"
"http://qudt.org/vocab/unit/C_Ab","10.C"
"http://qudt.org/vocab/unit/C_Ab-PER-CentiM2","10.C.cm-2"
"http://qudt.org/vocab/unit/C_Stat",NA
"http://qudt.org/vocab/unit/C_Stat-PER-CentiM2",NA
"http://qudt.org/vocab/unit/C_Stat-PER-MOL",NA
"http://qudt.org/vocab/unit/C2-M2-PER-J","C2.m2.J-1"
"http://qudt.org/vocab/unit/C3-M-PER-J2","C3.m.J-2"
"http://qudt.org/vocab/unit/C4-M4-PER-J3","C4.m4.J-3"
"http://qudt.org/vocab/unit/CAL_15_DEG_C","cal_[15]"
"http://qudt.org/vocab/unit/CAL_15DEG_C","cal_[15]"
"http://qudt.org/vocab/unit/CAL_20DEG_C",NA
"http://qudt.org/vocab/unit/CAL_IT","cal_IT"
"http://qudt.org/vocab/unit/CAL_IT-PER-GM","cal_IT.g-1"
"http://qudt.org/vocab/unit/CAL_IT-PER-GM-DEG_C","cal_IT.g-1.Cel-1"
