"pseudounit","unit","GroupTotalUses","unit.1","ediScopeUses","ediPackageUses","ediTotalUses","neonScopeUses","neonPackageUses","neonTotalUses","dataoneTotalUses","orgList","numOrgs","totalScopes","totalPackages","TotalUses"
"unitlessdigitalvalue","unitless digital value",18,"unitless digital value",0,0,0,0,0,0,18,"DataOne",1,0,0,18
"tritiumunit;1tritiumunit=3.22picocuriesperliter","tritium unit; 1 tritium unit= 3.22 picocuries per liter",18,"tritium unit; 1 tritium unit= 3.22 picocuries per liter",1,18,18,0,0,0,0,"EDI",1,1,18,18
"summillimeterperday","sum mm per day",18,"sum mm per day",1,1,18,0,0,0,0,"EDI",1,1,1,18
"sm","sm",18,"sm",0,0,0,0,0,0,12,"DataOne",1,0,0,12
"sm","sm",18,"sm",0,0,0,0,0,0,6,"DataOne",1,0,0,6
"quininesulfateunits","quininesulfateunits",18,"quininesulfateunits",1,4,18,0,0,0,0,"EDI",1,1,4,18
"partpermillionbyweight","parts per million by weight",18,"parts per million by weight",0,0,0,0,0,0,18,"DataOne",1,0,0,18
"oneyearexcludingleapsecondandleapday,31536000second","one year excluding leap seconds and leap days, 31536000 seconds",18,"one year excluding leap seconds and leap days, 31536000 seconds",1,18,18,0,0,0,0,"EDI",1,1,18,18
"moleperhectare","moleperhectare",18,"moleperhectare",0,0,0,0,0,0,9,"DataOne",1,0,0,9
"moleperhectare","moleperhectare",18,"moleperhectare",1,1,9,0,0,0,0,"EDI",1,1,1,9
"millimetermercury","millimetermercury",18,"millimetermercury",0,0,0,0,0,0,9,"DataOne",1,0,0,9
"millimetermercury","millimetermercury",18,"millimetermercury",2,4,6,0,0,0,0,"EDI",1,2,4,6
"millimetermercury","millimeters mercury",18,"millimeters mercury",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"millimetermercury","millimetersmercury",18,"millimetersmercury",1,1,1,0,0,0,0,"EDI",1,1,1,1
"micromolperliter","micromol/l",18,"micromol/l",0,0,0,0,0,0,12,"DataOne",1,0,0,12
"micromolperliter","micromol/l",18,"micromol/l",1,1,6,0,0,0,0,"EDI",1,1,1,6
"microgrampercentimetercubed","microgrampercentimetercubed",18,"microgrampercentimetercubed",2,6,15,0,0,0,0,"EDI",1,2,6,15
"microgrampercentimetercubed","microgramspercentimetercubed",18,"microgramspercentimetercubed",1,1,1,0,0,0,0,"EDI",1,1,1,1
"microgrampercentimetercubed","ug/cm3",18,"ug/cm3",1,1,1,0,0,0,0,"EDI",1,1,1,1
"microgrampercentimetercubed","microgramspercentimetercubed",18,"microgramspercentimetercubed",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"lpoppe","lpoppe",18,"lpoppe",0,0,0,0,0,0,18,"DataOne",1,0,0,18
"grampermeterquaredpersecond","grampermetersquaredpersecond",18,"grampermetersquaredpersecond",3,4,11,0,0,0,0,"EDI",1,3,4,11
"grampermeterquaredpersecond","gramspermetersquaredpersecond",18,"gramspermetersquaredpersecond",2,3,7,0,0,0,0,"EDI",1,2,3,7
"degreeangle","degrees angle",18,"degrees angle",1,5,16,0,0,0,2,"EDI DataOne",2,1,5,18
"centimeterpergram","centimeterspergram",18,"centimeterspergram",3,3,11,0,0,0,0,"EDI",1,3,3,11
"centimeterpergram","centimeterspergram",18,"centimeterspergram",0,0,0,0,0,0,4,"DataOne",1,0,0,4
"centimeterpergram","centimeters per gram",18,"centimeters per gram",2,2,2,0,0,0,0,"EDI",1,2,2,2
"centimeterpergram","centimeterpergram",18,"centimeterpergram",1,1,1,0,0,0,0,"EDI",1,1,1,1
"anarealfluxunit.oftenusedforaprimaryproductionrate,e.g.,foranintegratedwatercolumn.mayhavecontextofdryweight,orspecifictoanelement,e.g.,carbon","an areal flux unit. often used for a primary production rate, e.g., for an integrated water column. may have context of dry weight, or specific to an element, e.g., carbon",18,"an areal flux unit. often used for a primary production rate, e.g., for an integrated water column. may have context of dry weight, or specific to an element, e.g., carbon",2,18,18,0,0,0,0,"EDI",1,2,18,18
"umolm-2s-1","umolm-2s-1",17,"umolm-2s-1",1,3,16,0,0,0,1,"EDI DataOne",2,1,3,17
"stemsperquadrant","stems/quadrant",17,"stems/quadrant",1,1,17,0,0,0,0,"EDI",1,1,1,17
"sg","sg",17,"sg",0,0,0,0,0,0,12,"DataOne",1,0,0,12
