"unit","ucumCode","qudtUnit","qudtUri"
"[Btu_IT].[lb_av]-1.[degR]-1","[Btu_IT].[lb_av]-1.[degR]-1","BTU_IT-PER-LB-DEG_R","http://qudt.org/vocab/unit/BTU_IT-PER-LB-DEG_R"
"[Btu_IT]/([lb_av].[degR])","[Btu_IT]/([lb_av].[degR])","BTU_IT-PER-LB-DEG_R","http://qudt.org/vocab/unit/BTU_IT-PER-LB-DEG_R"
"[Btu_IT]/([lb_av].[degR])","[Btu_IT].[lb_av]-1.[degR]-1","BTU_IT-PER-LB-DEG_R","http://qudt.org/vocab/unit/BTU_IT-PER-LB-DEG_R"
"[Btu_IT].[lb_av]-1.mol-1","[Btu_IT].[lb_av]-1.mol-1","BTU_IT-PER-LB-MOL","http://qudt.org/vocab/unit/BTU_IT-PER-LB-MOL"
"[Btu_IT].[lb_av]-1.mol-1","[Btu_IT]/([lb_av].mol)","BTU_IT-PER-LB-MOL","http://qudt.org/vocab/unit/BTU_IT-PER-LB-MOL"
"[Btu_IT]/([lb_av].mol)","[Btu_IT].[lb_av]-1.mol-1","BTU_IT-PER-LB-MOL","http://qudt.org/vocab/unit/BTU_IT-PER-LB-MOL"
"[Btu_IT]/([lb_av].mol)","[Btu_IT]/([lb_av].mol)","BTU_IT-PER-LB-MOL","http://qudt.org/vocab/unit/BTU_IT-PER-LB-MOL"
"[Btu_IT].[lbf_av]-1","[Btu_IT]/[lbf_av]","BTU_IT-PER-LB_F","http://qudt.org/vocab/unit/BTU_IT-PER-LB_F"
"[Btu_IT].[lbf_av]-1","[Btu_IT].[lbf_av]-1","BTU_IT-PER-LB_F","http://qudt.org/vocab/unit/BTU_IT-PER-LB_F"
"[Btu_IT]/[lbf_av]","[Btu_IT]/[lbf_av]","BTU_IT-PER-LB_F","http://qudt.org/vocab/unit/BTU_IT-PER-LB_F"
"[Btu_IT]/[lbf_av]","[Btu_IT].[lbf_av]-1","BTU_IT-PER-LB_F","http://qudt.org/vocab/unit/BTU_IT-PER-LB_F"
"[Btu_IT].[lbf_av]-1.[degF]-1","[Btu_IT].[lbf_av]-1.[degF]-1","BTU_IT-PER-LB_F-DEG_F","http://qudt.org/vocab/unit/BTU_IT-PER-LB_F-DEG_F"
"[Btu_IT].[lbf_av]-1.[degF]-1","[Btu_IT]/([lbf_av].[degF])","BTU_IT-PER-LB_F-DEG_F","http://qudt.org/vocab/unit/BTU_IT-PER-LB_F-DEG_F"
"[Btu_IT]/([lbf_av].[degF])","[Btu_IT].[lbf_av]-1.[degF]-1","BTU_IT-PER-LB_F-DEG_F","http://qudt.org/vocab/unit/BTU_IT-PER-LB_F-DEG_F"
