"QK_EDI","QK_QUDT","dimVec","dimensionVector","s_EDI","s_QUDT"
"AreaPerAreaTime","MorbidityRate","A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/quantitykind/AreaPerAreaTime","http://qudt.org/vocab/quantitykind/MorbidityRate"
"AreaPerAreaTime","MortalityRate","A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/quantitykind/AreaPerAreaTime","http://qudt.org/vocab/quantitykind/MortalityRate"
"AreaPerAreaTime","ParticleCurrent","A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/quantitykind/AreaPerAreaTime","http://qudt.org/vocab/quantitykind/ParticleCurrent"
"AreaPerAreaTime","PhotonIntensity","A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/quantitykind/AreaPerAreaTime","http://qudt.org/vocab/quantitykind/PhotonIntensity"
"AreaPerAreaTime","RadioactiveDecay","A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/quantitykind/AreaPerAreaTime","http://qudt.org/vocab/quantitykind/RadioactiveDecay"
"AreaPerAreaTime","Radioactivity","A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/quantitykind/AreaPerAreaTime","http://qudt.org/vocab/quantitykind/Radioactivity"
"AreaPerAreaTime","RespiratoryRate","A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/quantitykind/AreaPerAreaTime","http://qudt.org/vocab/quantitykind/RespiratoryRate"
"AreaPerAreaTime","RotationalFrequency","A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/quantitykind/AreaPerAreaTime","http://qudt.org/vocab/quantitykind/RotationalFrequency"
"AreaPerAreaTime","RotationalVelocity","A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/quantitykind/AreaPerAreaTime","http://qudt.org/vocab/quantitykind/RotationalVelocity"
"AreaPerAreaTime","StochasticProcess","A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/quantitykind/AreaPerAreaTime","http://qudt.org/vocab/quantitykind/StochasticProcess"
"AreaPerAreaTime","TemporalSummationFunction","A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/quantitykind/AreaPerAreaTime","http://qudt.org/vocab/quantitykind/TemporalSummationFunction"
